# index, _pos
90,"array([-2.24598252, -8.83652232])"
91,"array([-2.42499802, -8.78061946])"
92,"array([-1.94262331, -8.71034591])"
93,"array([-1.36367534, -8.7298941 ])"
94,"array([-2.39933913, -8.50916323])"
95,"array([-2.5748816 , -8.82836527])"
96,"array([-2.60522225, -8.546848  ])"
97,"array([-2.61242282, -8.84383193])"
98,"array([-1.8660045 , -8.68980884])"
99,"array([-3.23464953, -9.30479346])"
100,"array([-3.19299333, -9.19338282])"
101,"array([-3.06627274, -9.32564794])"
102,"array([-3.18789211, -9.1501822 ])"
103,"array([-2.15342858, -8.69386657])"
104,"array([-1.58011387, -9.21278354])"
105,"array([-1.73612332, -8.7601771 ])"
106,"array([-1.94404474, -8.42630975])"
107,"array([-1.97153047, -8.48575309])"
108,"array([-1.7504393 , -8.64460909])"
109,"array([-1.44144441, -8.64377846])"
110,"array([-3.34333284, -8.91037702])"
111,"array([-2.90122919, -8.96272173])"
112,"array([-2.39787496, -8.76329954])"
113,"array([-2.99917019, -9.23979781])"
114,"array([-2.23596139, -8.70894219])"
115,"array([-1.84539463, -8.83744417])"
116,"array([-1.80945423, -8.53855212])"
117,"array([-2.1178621 , -8.27071819])"
118,"array([-1.92363636, -8.39889447])"
119,"array([-1.76494929, -9.12236928])"
120,"array([-2.22126545, -9.33751356])"
121,"array([-2.61510227, -8.4838982 ])"
122,"array([-3.12526978, -8.96647785])"
123,"array([-2.49197099, -8.83125933])"
124,"array([-3.35458604, -9.52199253])"
125,"array([-2.7675479 , -9.29087529])"
126,"array([-2.83532696, -9.12772614])"
127,"array([-2.92317352, -9.13261133])"
128,"array([-3.00266967, -8.95794142])"
129,"array([-2.74625513, -9.05142142])"
130,"array([-2.03960532, -8.52322315])"
131,"array([-2.65837508, -8.8588395 ])"
132,"array([-2.16643838, -8.67672013])"
133,"array([-0.62328188, -9.44867306])"
134,"array([-2.14342449, -8.75648894])"
135,"array([-1.93143604, -8.8942905 ])"
136,"array([-2.00885306, -8.39966301])"
137,"array([-2.43896405, -8.80532614])"
138,"array([-2.59018284, -8.89934183])"
139,"array([-2.98881246, -8.74573382])"
140,"array([-1.66446287, -8.57318835])"
141,"array([-2.12461263, -8.81971183])"
142,"array([-2.00579581, -8.8067939 ])"
143,"array([-2.46072741, -8.93148826])"
144,"array([-2.19288681, -9.00884784])"
145,"array([-2.57822658, -9.29237609])"
146,"array([-2.8705929, -9.3036584])"
147,"array([-2.5197041 , -8.71397585])"
148,"array([-2.47514028, -8.69359623])"
149,"array([-2.58464938, -8.2901261 ])"
150,"array([-2.79094228, -8.91497876])"
151,"array([-3.00425284, -9.13076898])"
152,"array([-2.24618967, -8.59327051])"
153,"array([-3.22163135, -8.75863331])"
154,"array([-2.71325213, -8.65664462])"
155,"array([-2.92645334, -8.97902248])"
156,"array([-1.8203299 , -9.08062272])"
157,"array([-2.00723561, -8.87839382])"
158,"array([-1.90688464, -9.20467741])"
159,"array([-2.53035161, -8.49494616])"
160,"array([-2.31694564, -8.30456055])"
161,"array([-1.83638946, -8.69087871])"
162,"array([-1.84659738, -9.35687759])"
163,"array([-1.9894529, -9.0176242])"
164,"array([-2.20595591, -9.08670764])"
165,"array([-2.22070335, -8.56627567])"
166,"array([-3.3628271 , -9.32693971])"
167,"array([-3.27668518, -9.55459273])"
168,"array([-2.1578405 , -8.55495017])"
169,"array([-1.7935415 , -8.85884214])"
170,"array([-2.55318793, -8.63185601])"
171,"array([-2.75699151, -9.08689877])"
172,"array([-1.9580965 , -8.79149037])"
173,"array([-2.1023438, -8.6004897])"
174,"array([-2.06423343, -8.82006706])"
175,"array([-1.20481185, -8.65798749])"
176,"array([-1.95779293, -8.64028441])"
177,"array([-2.37534805, -9.01016598])"
178,"array([-2.0474761 , -8.73495414])"
179,"array([-1.80373724, -8.68992478])"
180,"array([-1.99603783, -9.18417928])"
181,"array([-2.11919994, -8.78752185])"
182,"array([-2.38083766, -9.20782544])"
183,"array([-2.43823259, -8.95800458])"
184,"array([-2.21663365, -9.06744645])"
185,"array([-2.80561167, -8.95398689])"
186,"array([-2.52244795, -9.24083855])"
187,"array([-2.62576155, -8.91060783])"
188,"array([-2.66287107, -8.52958864])"
189,"array([-2.9906114, -9.0010683])"
190,"array([-2.88866639, -9.4957731 ])"
191,"array([-2.6977474, -9.1235433])"
192,"array([-3.03852392, -8.94773339])"
193,"array([-3.21327094, -8.21299269])"
194,"array([-2.3310792 , -9.22206479])"
195,"array([-2.65051496, -8.03782982])"
196,"array([-2.52089828, -8.82565174])"
197,"array([-1.94270599, -9.40911382])"
198,"array([-2.44377076, -8.5525707 ])"
199,"array([-2.66623  , -8.7456192])"
200,"array([-2.60430568, -8.92210123])"
201,"array([-2.48032613, -9.13026706])"
202,"array([-2.2923966, -8.4625871])"
203,"array([-2.20610857, -8.38418039])"
204,"array([-2.11731791, -7.96382511])"
205,"array([-0.80998549, -8.8767894 ])"
206,"array([-2.39776966, -8.90207946])"
207,"array([-1.55227408, -9.23296752])"
208,"array([-0.55957733, -8.85765961])"
209,"array([-0.9901153 , -8.65252803])"
210,"array([-2.5805442 , -9.05276866])"
211,"array([-1.39563865, -8.61854407])"
212,"array([-1.91292636, -8.60771506])"
213,"array([-2.77000749, -8.99697529])"
214,"array([-1.89182787, -8.75119615])"
215,"array([-1.7618174 , -8.96429258])"
216,"array([-3.59507931, -9.83026945])"
217,"array([-2.18787522, -9.58665027])"
218,"array([-2.26084836, -8.62462364])"
219,"array([-2.00339409, -8.90758355])"
220,"array([-1.96202944, -8.8768367 ])"
221,"array([-1.95652145, -8.531336  ])"
222,"array([-2.92605825, -9.08071246])"
223,"array([-2.33821355, -9.29509631])"
224,"array([-2.49029445, -9.22046074])"
225,"array([-2.27728298, -9.16224726])"
226,"array([-2.45884381, -8.75590312])"
227,"array([-2.43573734, -8.73165962])"
228,"array([-2.34384278, -8.83357573])"
229,"array([-1.44896603, -8.76825396])"
230,"array([-2.42543787, -9.15925254])"
231,"array([-2.22421105, -9.03529445])"
232,"array([-1.99293869, -8.77909553])"
233,"array([-2.42920753, -8.61925536])"
234,"array([-2.63170441, -9.01095335])"
235,"array([-2.65054215, -9.54920878])"
236,"array([-2.33512677, -8.93052509])"
237,"array([-2.8411257 , -8.66323003])"
238,"array([-2.4102319 , -8.65088874])"
239,"array([-2.35413285, -8.80143718])"
240,"array([-1.7702558 , -8.76184465])"
241,"array([-2.37440307, -8.36738907])"
242,"array([-3.35910406, -8.36997264])"
243,"array([-1.49966195, -8.75197489])"
244,"array([-1.63437306, -8.59394233])"
245,"array([-2.50129415, -8.6915043 ])"
246,"array([-3.11603499, -8.50476706])"
247,"array([-2.72948329, -8.39018701])"
248,"array([-2.81260266, -9.13874633])"
249,"array([-2.9397416 , -8.84958473])"
250,"array([-2.7683626 , -8.87337897])"
251,"array([-2.63117692, -8.74450944])"
252,"array([-2.72640567, -8.30730372])"
253,"array([-2.11817526, -8.7461636 ])"
254,"array([-2.38827895, -8.44517883])"
255,"array([-2.55412917, -8.7702202 ])"
256,"array([-2.57062026, -8.91782099])"
257,"array([-2.4565795 , -8.47459645])"
258,"array([-2.64037108, -8.84243177])"
259,"array([-2.04634452, -8.88360039])"
260,"array([-3.08287921, -9.01611247])"
261,"array([-1.80123118, -9.00117038])"
262,"array([-2.09231427, -8.99966398])"
263,"array([-2.46734227, -8.56345166])"
264,"array([-2.13301111, -8.30245569])"
265,"array([-2.08468075, -8.72907977])"
266,"array([-1.70246131, -8.90622928])"
267,"array([-1.90328625, -8.67980854])"
268,"array([-3.13063464, -9.22788236])"
269,"array([-3.0452145 , -8.59723098])"
270,"array([-0.79638706, -8.75015166])"
271,"array([-2.59197846, -8.66785735])"
272,"array([ -3.27988852, -10.1409722 ])"
273,"array([-1.45332187, -9.44277868])"
274,"array([-2.51939296, -8.96761567])"
275,"array([-2.22967624, -8.73384135])"
276,"array([-3.00302233, -9.09253051])"
277,"array([-2.49297281, -8.93177506])"
278,"array([-2.36365121, -8.48268275])"
279,"array([-2.62613925, -9.03798905])"
280,"array([-2.18996808, -8.88677796])"
281,"array([-2.96017559, -9.26454616])"
282,"array([-2.91413332, -8.10060272])"
283,"array([-2.05591583, -9.51635505])"
284,"array([-2.79042912, -9.11759457])"
285,"array([-2.94963447, -8.89898238])"
286,"array([-2.34770373, -9.12468531])"
287,"array([-2.36281459, -9.65384426])"
288,"array([-2.34400157, -9.32517248])"
289,"array([-0.2536911 , -8.65110545])"
290,"array([-1.65512106, -8.71924324])"
291,"array([-0.48528097, -8.46252441])"
292,"array([-1.27724753, -8.32364556])"
293,"array([-1.49288591, -8.71672204])"
294,"array([-1.6084019 , -9.12326645])"
295,"array([-1.73243858, -8.40690851])"
296,"array([-1.24238325, -8.78275561])"
297,"array([-2.82138288, -8.03581112])"
298,"array([-2.49970121, -8.73154674])"
299,"array([-2.18533899, -9.06719296])"
300,"array([-1.75463849, -9.2197566 ])"
301,"array([-2.14583097, -9.1201247 ])"
302,"array([-1.94190044, -9.02839251])"
303,"array([-2.25837588, -8.52343865])"
304,"array([-1.93295942, -9.29292236])"
305,"array([-2.57101284, -9.19343398])"
306,"array([-2.15293809, -9.2419274 ])"
307,"array([-1.99593234, -9.37225848])"
308,"array([-1.96242603, -8.45360811])"
309,"array([-1.92818763, -8.63811508])"
310,"array([-1.92149352, -8.10274703])"
311,"array([-2.19957304, -8.51857482])"
312,"array([-2.53986273, -8.57279982])"
313,"array([-1.83061037, -8.97982516])"
314,"array([-1.96918206, -8.72893948])"
315,"array([-1.70943456, -8.78178694])"
316,"array([-2.66289338, -8.31713759])"
317,"array([-2.91800866, -8.66925011])"
318,"array([-1.58594292, -8.17635138])"
319,"array([-2.88775571, -8.56538722])"
320,"array([-2.26001448, -8.6785271 ])"
321,"array([-2.82979251, -9.16705875])"
322,"array([-3.03302547, -9.24446784])"
323,"array([-2.69461883, -9.1614994 ])"
324,"array([-2.24308409, -9.14378163])"
325,"array([-2.27879196, -9.58329232])"
326,"array([-1.93987487, -8.85308751])"
327,"array([-3.24485156, -8.97548694])"
328,"array([-3.12111251, -9.28307837])"
329,"array([-2.60110929, -8.80953244])"
330,"array([-3.08597615, -9.54189497])"
331,"array([-3.00397017, -9.52579835])"
332,"array([-2.59949973, -8.51186878])"
333,"array([-2.17896723, -8.97476272])"
334,"array([-2.09800929, -9.26187719])"
335,"array([-2.62223521, -8.27481268])"
336,"array([-2.03399159, -9.1295594 ])"
337,"array([-2.28234318, -9.0286968 ])"
338,"array([-1.80152397, -8.75185575])"
339,"array([-1.7119808 , -8.49028282])"
340,"array([-1.97313607, -8.30718573])"
341,"array([-1.93613177, -8.32307943])"
342,"array([-1.4234897 , -9.38960587])"
343,"array([-1.60370195, -8.88609365])"
344,"array([-1.89340127, -9.0899798 ])"
345,"array([-2.3607266 , -9.41406142])"
346,"array([-2.2588775 , -8.48895085])"
347,"array([-2.83742597, -7.97437806])"
348,"array([-1.94368557, -8.92330284])"
349,"array([-3.07936466, -9.11647476])"
350,"array([-2.02986929, -9.45621151])"
351,"array([-2.8214118 , -9.20110751])"
352,"array([-2.02142   , -9.16629556])"
353,"array([-2.30673875, -9.13499315])"
354,"array([-2.93560196, -8.53257552])"
355,"array([-2.70881191, -8.36088058])"
356,"array([-2.64092447, -8.88253759])"
357,"array([-1.96419251, -8.61097316])"
358,"array([-2.62438376, -7.90287258])"
359,"array([-2.09198395, -8.42697596])"
360,"array([-2.34176456, -8.7760895 ])"
361,"array([-2.73763203, -8.33238047])"
362,"array([-2.8584598 , -9.21549885])"
363,"array([-2.45802686, -8.64184244])"
364,"array([-3.4405419 , -8.85075402])"
365,"array([-2.703217  , -8.73292105])"
366,"array([ -2.9312079 , -10.31993473])"
367,"array([ -3.2816674 , -10.24477373])"
368,"array([-2.50605893, -8.35023603])"
369,"array([-2.25616068, -8.81127368])"
370,"array([-2.64917578, -8.9587017 ])"
371,"array([-3.04797043, -8.71487568])"
372,"array([-2.90276207, -9.15184368])"
373,"array([-1.21258614, -9.35306139])"
374,"array([-1.68012788, -9.12485887])"
375,"array([-1.64390557, -9.15473691])"
376,"array([-4.79896329, -8.22729167])"
377,"array([-4.12530846, -8.10873644])"
378,"array([-2.14459777, -9.87372891])"
379,"array([-1.5697124 , -9.58888668])"
380,"array([-2.12945193, -9.14653049])"
381,"array([-2.1496014 , -9.05624442])"
382,"array([-2.18435196, -8.92412776])"
383,"array([-2.40335942, -8.42556274])"
384,"array([-2.36561106, -9.09686328])"
385,"array([-3.69980575, -7.95175597])"
386,"array([-2.7993983 , -8.78455137])"
387,"array([-3.29274839, -8.05631211])"
388,"array([-4.44722642, -8.80571757])"
389,"array([-4.61300442, -8.65794526])"
390,"array([-4.03661056, -8.64854824])"
391,"array([-1.67317584, -8.94214453])"
392,"array([-1.8849386 , -8.87821881])"
393,"array([-1.79849862, -9.05237069])"
394,"array([-1.86208735, -9.04014838])"
395,"array([-2.12307559, -8.85262136])"
396,"array([-1.62041404, -8.70224188])"
397,"array([-2.43146964, -8.48062098])"
398,"array([-2.55411559, -8.94576619])"
399,"array([-2.23505092, -8.93380531])"
400,"array([-2.68903993, -8.03078948])"
401,"array([-2.57430336, -7.79772273])"
402,"array([-2.52019346, -8.02593259])"
403,"array([-2.69025577, -7.92780514])"
404,"array([-3.7901612 , -8.11131236])"
405,"array([-3.52913687, -7.68731153])"
406,"array([-2.58094532, -8.69254855])"
407,"array([-2.94824821, -8.56175628])"
408,"array([-2.54671109, -8.19911887])"
409,"array([-3.29160243, -8.30264926])"
410,"array([-3.37299587, -9.06492186])"
411,"array([-2.88782275, -8.98744018])"
412,"array([-3.01991811, -8.1649337 ])"
413,"array([-3.13792973, -8.88703549])"
414,"array([-3.78117217, -8.92475091])"
415,"array([-2.88147179, -8.85625849])"
416,"array([-4.19919558, -8.9902628 ])"
417,"array([-2.81843714, -8.86091591])"
418,"array([-2.85637255, -9.00163447])"
419,"array([-3.65559882, -8.35133327])"
420,"array([-2.70305311, -8.89472351])"
421,"array([-3.89802621, -8.21930158])"
422,"array([-2.94268057, -8.61543831])"
423,"array([-3.56477187, -9.26934456])"
424,"array([-3.05774347, -9.47928552])"
425,"array([-2.8866361 , -8.80981576])"
426,"array([ -3.727629  , -10.51608559])"
427,"array([ -3.67686471, -10.55459162])"
428,"array([-3.18045372, -9.88780851])"
429,"array([-3.2923233 , -8.77468421])"
430,"array([-3.35993317, -8.56784473])"
431,"array([-2.82909749, -8.55349139])"
432,"array([-3.22973561, -8.58203541])"
433,"array([-3.72221766, -8.51896863])"
434,"array([-2.80729322, -8.61295333])"
435,"array([-2.74409549, -8.85723432])"
436,"array([-3.57541917, -8.60408036])"
437,"array([-3.38779439, -9.12364998])"
438,"array([-2.61427034, -9.06438482])"
439,"array([-2.5314294 , -8.76072161])"
440,"array([-2.76366521, -9.40729759])"
441,"array([-2.31793009, -9.0762429 ])"
442,"array([-3.20603705, -8.80779185])"
443,"array([-3.35084271, -8.96061484])"
444,"array([-3.20825298, -8.9669084 ])"
445,"array([-1.97198731, -8.91424859])"
446,"array([-2.20791377, -8.8695644 ])"
447,"array([-2.02599369, -8.70336677])"
448,"array([-2.48886596, -9.04712289])"
449,"array([-2.48842548, -8.51642438])"
450,"array([-2.39053009, -8.34160123])"
451,"array([-2.59411046, -8.85372665])"
452,"array([-1.83198016, -8.59683064])"
453,"array([-2.07752058, -8.66417914])"
454,"array([-2.4795005 , -8.88810259])"
455,"array([-2.56394214, -9.00021197])"
456,"array([-2.37708226, -8.67349769])"
457,"array([-2.35144629, -8.65531721])"
458,"array([-2.59559747, -8.31504737])"
459,"array([-2.75160946, -8.44894298])"
460,"array([-2.6965593 , -8.79818158])"
461,"array([-2.62593101, -8.67726966])"
462,"array([-2.5687374 , -8.10648043])"
463,"array([-2.69102556, -7.89244402])"
464,"array([-2.8877178 , -8.93372865])"
465,"array([-3.28269595, -8.90651343])"
466,"array([-2.50406978, -8.89613884])"
467,"array([-2.77433017, -8.7850478 ])"
468,"array([-3.96311562, -9.66887284])"
469,"array([-1.9995904 , -9.11830476])"
470,"array([-2.57942114, -8.64681384])"
471,"array([-3.81395664, -8.43959736])"
472,"array([-3.52276245, -8.60494418])"
473,"array([-3.89251306, -9.23497618])"
474,"array([-3.27585584, -8.97666532])"
475,"array([-2.67375591, -8.91580114])"
476,"array([-2.64775352, -8.91056568])"
477,"array([-1.77113971, -8.93091101])"
478,"array([-2.20586623, -8.94706465])"
479,"array([-1.92154589, -9.00316145])"
480,"array([-1.88891905, -8.97743268])"
481,"array([-2.51309434, -9.39120152])"
482,"array([-2.5641736 , -8.54905365])"
483,"array([-1.94006025, -9.07295151])"
484,"array([-1.87393259, -8.92449951])"
485,"array([-2.25721027, -8.75540158])"
486,"array([-2.50329298, -8.85272089])"
487,"array([-1.95608586, -8.56485721])"
488,"array([-0.98715975, -8.15551353])"
489,"array([-3.64435766, -9.03044239])"
490,"array([-3.84873083, -9.20330551])"
491,"array([-3.55007787, -8.93961838])"
492,"array([-3.35705987, -8.99514915])"
493,"array([-2.34781628, -9.06880941])"
494,"array([-2.65912856, -9.04789316])"
495,"array([-2.64316378, -8.64625792])"
496,"array([-2.28053957, -8.91546478])"
497,"array([-2.1000469 , -9.17294774])"
498,"array([-2.282825  , -8.42903873])"
499,"array([-2.6061953 , -8.72861702])"
500,"array([-3.33008614, -9.80450871])"
501,"array([-3.00909657, -9.18996375])"
502,"array([-2.70839651, -9.09083622])"
503,"array([-3.52769288, -8.87130522])"
504,"array([-2.98146637, -9.86665042])"
505,"array([ -3.58052517, -10.758003  ])"
506,"array([-2.26818104, -8.97298917])"
507,"array([-2.85245247, -8.86327267])"
508,"array([-3.44190971, -8.73285411])"
509,"array([-2.91934154, -8.87122994])"
510,"array([-3.50379384, -8.80170496])"
511,"array([-1.13494189, -8.12654925])"
512,"array([-2.66959012, -8.62738468])"
513,"array([-2.25912729, -8.894277  ])"
514,"array([-2.08855011, -9.06963046])"
515,"array([-2.14875066, -8.79261601])"
516,"array([-1.91219673, -8.52544298])"
517,"array([-2.58215328, -9.61347745])"
518,"array([-2.7374328 , -8.88927938])"
519,"array([-1.58361448, -9.51306707])"
520,"array([-3.08289271, -9.07344434])"
521,"array([-3.17317934, -8.97158689])"
522,"array([-3.25599942, -8.77822783])"
523,"array([-2.13551981, -8.49392007])"
524,"array([-2.35019778, -7.99975053])"
525,"array([-3.95383207, -8.74737764])"
526,"array([-3.79598801, -8.56470013])"
527,"array([-3.74178964, -8.93585677])"
528,"array([ -3.39512205, -10.6174615 ])"
529,"array([-3.26282099, -8.93989236])"
530,"array([-3.63059823, -8.02451229])"
531,"array([-3.15324611, -8.13520854])"
532,"array([-4.09527831, -9.5319643 ])"
533,"array([-3.2305313 , -9.33474541])"
534,"array([-2.72243915, -9.34513529])"
535,"array([-2.49857358, -8.98678853])"
536,"array([-2.63067603, -8.98880517])"
537,"array([-2.84840391, -8.75761059])"
538,"array([-2.94974795, -8.757849  ])"
539,"array([-3.07953525, -8.70481656])"
540,"array([-1.66058784, -8.50851248])"
541,"array([-2.34149762, -8.43251203])"
542,"array([-2.72113027, -8.81375805])"
543,"array([-3.66903348, -8.40700651])"
544,"array([-2.82374935, -8.91613039])"
545,"array([-2.45673361, -8.50507191])"
546,"array([-2.75298687, -8.64071409])"
547,"array([-3.56035351, -9.09452203])"
548,"array([-2.68984344, -8.24579491])"
549,"array([-4.81991912, -9.24138941])"
550,"array([-2.11022179, -9.59891335])"
551,"array([-2.38633087, -9.1596631 ])"
552,"array([-1.59421436, -9.55008815])"
553,"array([-3.07599213, -9.43776724])"
554,"array([-3.19774958, -9.08120461])"
555,"array([-2.71254984, -9.0177544 ])"
556,"array([-2.7937976 , -9.16800813])"
557,"array([-3.07273738, -8.32473781])"
558,"array([ -1.81527807, -10.65342477])"
559,"array([-2.50951842, -8.58840202])"
560,"array([-3.11710124, -8.85141824])"
561,"array([-3.49491151, -8.65205695])"
562,"array([-2.88863513, -8.8883625 ])"
563,"array([-3.63392966, -9.22309147])"
564,"array([-3.32599142, -9.06453779])"
565,"array([-3.2296451, -8.8685457])"
566,"array([-3.49774538, -8.95615636])"
567,"array([-3.8019111 , -8.63358851])"
568,"array([-2.63744537, -8.3893534 ])"
569,"array([-2.96187888, -8.05316469])"
570,"array([-4.04155591, -9.08519865])"
571,"array([-3.31527187, -8.9407378 ])"
572,"array([-2.55092803, -9.03284948])"
573,"array([-2.18697814, -9.04415113])"
574,"array([-1.47398084, -9.52797538])"
575,"array([-2.21431815, -8.97801747])"
576,"array([-3.19178755, -8.72873421])"
577,"array([-1.61920077, -8.49875982])"
578,"array([-2.38697976, -8.85805327])"
579,"array([-2.71950443, -8.98063746])"
580,"array([-3.66787952, -8.45348637])"
581,"array([-3.2711012 , -8.57820025])"
582,"array([-2.5929154 , -8.47359974])"
583,"array([-3.83944887, -9.03623734])"
584,"array([-3.47237137, -8.61909529])"
585,"array([-2.76969131, -9.03050131])"
586,"array([-3.57876325, -9.19212419])"
587,"array([-2.5945106 , -8.37911162])"
588,"array([-2.86401868, -9.03683788])"
589,"array([-3.57889538, -8.4716653 ])"
590,"array([-4.45463549, -7.80230492])"
591,"array([-4.07733118, -8.05452496])"
592,"array([-2.94188997, -8.42038412])"
593,"array([-3.35466552, -8.65299167])"
594,"array([-2.54257623, -8.7142726 ])"
595,"array([-3.14508511, -8.40396167])"
596,"array([-2.99335254, -8.13701304])"
597,"array([ -1.82530494, -10.37405886])"
598,"array([-1.69327573, -9.30810408])"
599,"array([-2.79242423, -8.23025727])"
600,"array([-1.98758902, -8.98522449])"
601,"array([-1.98523942, -8.64424042])"
602,"array([-2.3693222 , -8.18906823])"
603,"array([-1.98995874, -8.57525752])"
604,"array([-2.8186434 , -8.80544941])"
605,"array([-2.78807292, -9.077846  ])"
606,"array([-2.57172604, -9.32754245])"
607,"array([-2.75677268, -8.80728578])"
608,"array([-3.26471811, -8.64461394])"
609,"array([-2.71823714, -8.95615737])"
610,"array([-3.38685617, -9.02039433])"
611,"array([-2.33986741, -8.24962397])"
612,"array([-3.94301053, -9.20526891])"
613,"array([-3.78274168, -9.01893604])"
614,"array([-2.41682544, -8.53745982])"
615,"array([ -3.39904074, -10.76985502])"
616,"array([ -3.82271382, -11.50121645])"
617,"array([-1.33176252, -9.66482522])"
618,"array([-4.11706663, -9.65114159])"
619,"array([-2.96934784, -8.45249135])"
620,"array([-2.66532547, -8.98387214])"
621,"array([-2.44504638, -8.70570378])"
622,"array([-2.60600792, -8.88365084])"
623,"array([-3.73981047, -8.40820311])"
624,"array([-3.92853129, -8.33912545])"
625,"array([-3.12015406, -9.05158939])"
626,"array([-2.1947678 , -9.28087671])"
627,"array([-1.85998635, -7.98158204])"
628,"array([-2.27484145, -8.0085923 ])"
629,"array([-3.27761862, -9.50451848])"
630,"array([-3.3820174 , -9.86224734])"
631,"array([-4.02399021, -9.24153759])"
632,"array([-3.01959853, -9.0560494 ])"
633,"array([-2.55711649, -8.4762294 ])"
634,"array([-2.60054782, -9.02446549])"
635,"array([-3.48299663, -9.09591644])"
636,"array([-2.40828752, -8.59913746])"
637,"array([-2.5540526 , -9.23925996])"
638,"array([-2.31671331, -9.26571835])"
639,"array([-2.39083094, -9.37243118])"
640,"array([-2.40693964, -9.41205986])"
641,"array([-2.84842897, -9.77921811])"
642,"array([-2.70850685, -9.26160151])"
643,"array([-2.82937581, -9.57630234])"
644,"array([-3.53975673, -8.29244733])"
645,"array([-3.3139006 , -8.63833403])"
646,"array([-1.95654998, -9.15165651])"
647,"array([-1.66947172, -9.24232488])"
648,"array([-1.83549578, -9.20551555])"
649,"array([-2.35462253, -9.96193572])"
650,"array([-2.43872189, -9.55832302])"
651,"array([-2.2723661, -9.7348756])"
652,"array([-2.54655577, -9.2810008 ])"
653,"array([-2.50493552, -9.50544443])"
654,"array([-2.38745177, -9.68859011])"
655,"array([-2.83199771, -8.97069531])"
