# index, name, date, _pos
58,9908432,1999-08-22,"array([-21.36444081,  -1.49643437])"
59,9911280,1999-11-09,"array([-21.23931585,  -1.40250168])"
60,9210215,1992-10-06,"array([-21.11222979,  -1.4462269 ])"
61,9211304,1992-11-25,"array([-21.22475396,  -1.45630678])"
62,9211321,1992-11-26,"array([-21.21835332,  -1.45060788])"
63,9212203,1992-12-01,"array([-21.17583982,  -1.43279256])"
64,9303284,1993-03-19,"array([-21.18013309,  -1.44530107])"
65,9304257,1993-04-15,"array([-21.23930907,  -1.44545145])"
66,9406263,1994-06-09,"array([-21.26194539,  -1.45123836])"
67,1113,2000-01-13,"array([-21.3043857 ,  -1.67506845])"
68,1297,2000-01-28,"array([-21.36835144,  -1.66103198])"
69,2227,2000-02-22,"array([-21.14120599,  -1.42091444])"
70,3323,2000-03-31,"array([-21.2107748 ,  -1.46007352])"
71,4004,2000-04-01,"array([-21.35567157,  -1.56500304])"
72,4173,2000-04-18,"array([-21.35404407,  -1.59110112])"
73,4213,2000-04-24,"array([-21.38981382,  -1.62500971])"
74,5006,2000-04-30,"array([-21.25866061,  -1.52065105])"
75,6001,2000-06-01,"array([-21.34726606,  -1.59192776])"
76,6022,2000-06-02,"array([-21.26371949,  -1.50289281])"
77,6124,2000-06-13,"array([-21.33410511,  -1.56745715])"
78,6225,2000-06-20,"array([-21.16149242,  -1.50331407])"
79,6351,2000-06-30,"array([-21.30349941,  -1.59591521])"
80,6357,2000-06-30,"array([-21.13313982,  -1.55204313])"
81,7038,2000-07-05,"array([-21.31843306,  -1.51275704])"
82,7136,2000-07-13,"array([-21.11443775,  -1.55430254])"
83,7256,2000-07-24,"array([-21.26886899,  -1.49869283])"
84,7360,2000-07-31,"array([-21.21003011,  -1.38858992])"
85,8004,2000-08-01,"array([-21.15565803,  -1.35007254])"
86,8009,2000-08-01,"array([-21.23621887,  -1.32214122])"
87,8018,2000-08-02,"array([-21.12200582,  -1.30783808])"
88,8159,2000-08-16,"array([-21.31416073,  -1.51890281])"
89,8216,2000-08-21,"array([-21.24949535,  -1.57892977])"
90,8255,2000-08-24,"array([-21.40490157,  -1.61158466])"
91,8273,2000-08-25,"array([-21.20010358,  -1.33656954])"
92,9042,2000-09-05,"array([-21.17789783,  -1.60036415])"
93,9054,2000-09-05,"array([-21.1402372 ,  -1.63193112])"
94,9210,2000-09-18,"array([-21.12610324,  -1.52820955])"
95,11238,2000-11-20,"array([-21.28904716,  -1.58632247])"
96,11358,2000-11-29,"array([-21.09406239,  -1.65672994])"
97,12152,2000-12-13,"array([-21.33196894,  -1.53757187])"
98,12208,2000-12-17,"array([-21.30686181,  -1.60866621])"
99,12271,2000-12-20,"array([-21.36088116,  -1.60904148])"
100,101118,2001-01-11,"array([-21.28523682,  -1.59446901])"
101,101190,2001-01-17,"array([-21.48224614,  -1.58182297])"
102,102012,2001-02-02,"array([-21.29135789,  -1.54012726])"
103,102077,2001-02-07,"array([-21.30994118,  -1.53167827])"
104,102219,2001-02-17,"array([-21.54017827,  -1.55912783])"
105,103020,2001-03-01,"array([-21.27730472,  -1.63397674])"
106,103211,2001-03-20,"array([-21.30001451,  -1.55278368])"
107,104018,2001-04-02,"array([-21.2472319,  -1.4413179])"
108,9309283,1993-09-17,"array([-21.16452855,  -1.43717128])"
109,9404282,1994-04-18,"array([-21.1896955 ,  -1.46930545])"
110,9408404,1994-08-31,"array([-21.17736307,  -1.49013366])"
111,9411308,1994-11-16,"array([-21.36869294,  -1.61267351])"
112,9509204,1995-09-01,"array([-21.18711797,  -1.45627717])"
113,9607366,1996-07-18,"array([-21.4303122 ,  -1.65158797])"
114,9607447,1996-07-26,"array([-21.18944151,  -1.36155611])"
115,9703353,1997-03-18,"array([-21.24555332,  -1.51410684])"
116,9704423,1997-04-28,"array([-21.20473349,  -1.47260545])"
117,9705292,1997-05-12,"array([-21.28673587,  -1.6017466 ])"
118,9707251,1997-07-05,"array([-21.26616744,  -1.55151218])"
119,9712225,1997-12-01,"array([-21.21797152,  -1.43633101])"
120,9712306,1997-12-08,"array([-21.16376057,  -1.45639404])"
121,9801443,1998-01-29,"array([-21.35753001,  -1.61981062])"
122,9802394,1998-02-23,"array([-21.37485298,  -1.60585049])"
123,9802433,1998-02-26,"array([-21.21019857,  -1.49103695])"
124,9804363,1998-04-22,"array([-21.26359255,  -1.52398429])"
125,9805403,1998-05-20,"array([-21.23003261,  -1.49883591])"
126,9806468,1998-06-24,"array([-21.17389033,  -1.46577431])"
127,9808493,1998-08-31,"array([-21.20733258,  -1.47769836])"
128,9809311,1998-09-09,"array([-21.19023563,  -1.46270786])"
129,9809384,1998-09-14,"array([-21.17791157,  -1.5027736 ])"
130,9810260,1998-10-06,"array([-21.19654244,  -1.47097885])"
131,9810438,1998-10-21,"array([-21.44993272,  -1.73714834])"
132,9812396,1998-12-16,"array([-21.23255345,  -1.51195655])"
133,9903456,1999-03-23,"array([-21.20900871,  -1.4470987 ])"
134,9903535,1999-03-30,"array([-21.23036693,  -1.33150251])"
135,9905312,1999-05-11,"array([-21.34173775,  -1.55744461])"
136,9909564,1999-09-30,"array([-21.13439306,  -1.52849559])"
137,9910291,1999-10-11,"array([-21.25900796,  -1.56659957])"
138,9911250,1999-11-05,"array([-21.29784465,  -1.36972625])"
139,9911427,1999-11-22,"array([-21.37263901,  -1.562537  ])"
140,9911528,1999-11-30,"array([-21.19228809,  -1.54785976])"
141,9512388,1995-12-20,"array([-21.16844685,  -1.07983015])"
142,9702315,1997-02-12,"array([-21.14379469,  -1.11494075])"
143,9704402,1997-04-24,"array([-21.21833519,  -1.30436934])"
144,9707225,1997-07-02,"array([-21.24369162,  -1.24467335])"
145,9709328,1997-09-12,"array([-21.10096413,  -1.55757723])"
146,9207214,1992-07-03,"array([-21.39020065,  -1.53896545])"
147,9207222,1992-07-08,"array([-21.08106391,  -1.44587782])"
148,9209231,1992-09-14,"array([-21.09367582,  -1.53735636])"
149,9211256,1992-11-17,"array([-21.38945276,  -1.16214088])"
150,9211260,1992-11-17,"array([-21.39659728,  -1.16729202])"
151,9211333,1992-11-30,"array([-20.99223927,  -1.59657972])"
152,9302244,1993-02-09,"array([-21.30482883,  -1.30805889])"
153,9303225,1993-03-04,"array([-21.19383964,  -1.40707492])"
154,9303270,1993-03-17,"array([-21.3549189 ,  -1.16365127])"
155,9304225,1993-04-06,"array([-21.41502535,  -1.5266068 ])"
156,9306320,1993-06-26,"array([-21.37757498,  -1.6769799 ])"
157,9307247,1993-07-11,"array([-21.40419211,  -1.51694091])"
158,9307318,1993-07-22,"array([-21.23673433,  -1.37165814])"
159,9307364,1993-07-29,"array([-21.32170483,  -1.34524641])"
160,9308246,1993-08-08,"array([-21.41050179,  -1.52107744])"
161,9308262,1993-08-11,"array([-21.39802053,  -1.54999766])"
162,9308287,1993-08-17,"array([-21.38652617,  -1.54644296])"
163,9308288,1993-08-17,"array([-21.37742642,  -1.45857499])"
164,9308349,1993-08-27,"array([-21.33470832,  -1.30472455])"
165,9309203,1993-09-01,"array([-21.24423176,  -1.3779647 ])"
166,9309236,1993-09-07,"array([-21.3642184,  -1.3179355])"
167,9310212,1993-10-04,"array([-21.35931305,  -1.20251194])"
168,9310311,1993-10-19,"array([-21.20176323,  -1.36762979])"
169,9310332,1993-10-21,"array([-21.325536  ,  -1.28423987])"
170,9311243,1993-11-09,"array([-21.3679091 ,  -1.64024078])"
171,9311339,1993-11-23,"array([-21.36424921,  -1.51434707])"
172,9311345,1993-11-23,"array([-21.34587315,  -1.27827618])"
173,9311357,1993-11-24,"array([-21.36781436,  -1.35924032])"
174,9312311,1993-12-20,"array([-21.43523739,  -1.50312796])"
175,9312359,1993-12-30,"array([-21.44090201,  -1.550184  ])"
176,9401204,1994-01-03,"array([-21.1730591 ,  -1.40402425])"
177,9401254,1994-01-14,"array([-21.32027651,  -1.39287777])"
178,9402347,1994-02-24,"array([-21.17280894,  -1.38311028])"
179,9402363,1994-03-01,"array([-21.17680986,  -1.49623767])"
180,9403254,1994-03-09,"array([-21.31588284,  -1.52594062])"
181,9403407,1994-03-31,"array([-21.41931403,  -1.53234182])"
182,9405207,1994-05-03,"array([-21.356712,  -1.500672])"
183,9405259,1994-05-10,"array([-21.18505393,  -1.36749603])"
184,9405346,1994-05-20,"array([-21.38297635,  -1.53776802])"
185,9405368,1994-05-24,"array([-21.2188858 ,  -1.36817675])"
186,9406203,1994-06-01,"array([-21.31013284,  -1.37492686])"
187,9406239,1994-06-07,"array([-21.32531052,  -1.32956158])"
188,9407342,1994-07-20,"array([-21.12059877,  -1.44673905])"
189,9408213,1993-08-02,"array([-21.32541914,  -1.33837175])"
190,9408290,1994-08-15,"array([-21.33431356,  -1.57627165])"
191,9408306,1994-08-16,"array([-21.3710514 ,  -1.50762971])"
192,9408382,1994-08-29,"array([-21.34718978,  -1.4265425 ])"
193,9408390,1994-08-30,"array([-21.12710425,  -1.44287669])"
194,9409287,1994-09-12,"array([-21.44866667,  -1.5140096 ])"
195,9409309,1994-09-14,"array([-21.21667602,  -1.58697992])"
196,9409391,1994-09-22,"array([-21.36129885,  -1.52963614])"
197,9409437,1994-09-29,"array([-21.17585654,  -1.47940411])"
198,9409440,1994-09-29,"array([-21.39588226,  -1.5223998 ])"
199,9409454,1994-09-30,"array([-21.3755917 ,  -1.35976416])"
200,9410388,1994-10-26,"array([-21.20451179,  -1.48875267])"
201,9411229,1994-11-05,"array([-21.60684763,  -1.53062927])"
202,9411335,1994-11-18,"array([-21.07447344,  -1.38353225])"
203,9412324,1994-12-19,"array([-21.30751405,  -1.62286234])"
204,9412375,1994-12-27,"array([-21.31684887,  -1.40908871])"
205,9501281,1995-01-12,"array([-21.33835314,  -1.39992916])"
206,9501389,1995-01-26,"array([-21.18250049,  -1.33756498])"
207,9502300,1995-02-14,"array([-21.59003709,  -1.54908471])"
208,9502338,1995-02-17,"array([-21.37097167,  -1.51785269])"
209,9502363,1995-02-22,"array([-21.18019466,  -1.54066277])"
210,9503414,1995-03-22,"array([-21.29118818,  -1.51797833])"
211,9503492,1995-04-01,"array([-21.48419843,  -1.52041375])"
212,9505397,1995-05-28,"array([-21.43909931,  -1.48099854])"
213,9506201,1995-06-01,"array([-21.42777267,  -1.48281904])"
214,9506374,1995-06-20,"array([-21.35979191,  -1.32430164])"
215,9507248,1995-07-06,"array([-21.36590765,  -1.40652985])"
216,9507262,1995-07-07,"array([-21.23326526,  -1.33698165])"
217,9508272,1995-08-09,"array([-21.22337129,  -1.39086457])"
218,9510323,1995-10-17,"array([-21.29201791,  -1.44748057])"
219,9510378,1995-10-24,"array([-21.36363849,  -1.21713809])"
220,9908362,1999-08-16,"array([-21.43987121,  -1.63691544])"
221,9302210,1993-02-03,"array([-21.00834573,  -1.28898575])"
222,9308272,1993-08-13,"array([-21.20423561,  -1.38750475])"
223,6056,2000-06-06,"array([-21.15079895,  -1.46204907])"
224,6280,2000-06-24,"array([-21.33214553,  -1.33227257])"
225,7085,2000-07-10,"array([-21.19793799,  -1.35467652])"
226,7233,2000-07-21,"array([-21.01698673,  -1.04709687])"
227,7339,2000-07-28,"array([-21.43390531,  -1.51716814])"
228,8234,2000-08-22,"array([-21.24168105,  -1.56431894])"
229,11184,2000-11-14,"array([-21.10012173,  -1.5491857 ])"
230,11269,2000-11-21,"array([-21.30189245,  -1.48930784])"
231,11392,2000-11-30,"array([-21.15005162,  -1.5023543 ])"
232,12161,2000-12-13,"array([-21.29717853,  -1.49556533])"
233,101259,2001-01-23,"array([-21.14218142,  -1.37601158])"
234,102274,2001-02-22,"array([-21.10126613,  -1.28084325])"
235,102345,2001-02-28,"array([-20.88379072,  -1.49755311])"
236,103197,2001-03-19,"array([-21.2122433 ,  -1.42361444])"
237,9408332,1994-08-21,"array([-21.16811623,  -1.42947915])"
238,9409399,1994-09-23,"array([-21.10744744,  -1.5378845 ])"
239,9411367,1994-11-23,"array([-21.28829417,  -1.57293717])"
240,9603256,1996-03-08,"array([-21.38523761,  -1.72988436])"
241,9610449,1996-10-22,"array([-21.15428581,  -1.04272453])"
242,9612262,1996-12-05,"array([-21.33353243,  -1.43578176])"
243,9612313,1996-12-10,"array([-21.3394899 ,  -1.29418096])"
244,9703290,1997-03-10,"array([-21.40184447,  -1.58004843])"
245,9704376,1997-04-22,"array([-21.25802722,  -1.40749927])"
246,9709288,1997-09-08,"array([-21.18472964,  -1.39227791])"
247,9711217,1997-11-04,"array([-21.23832199,  -1.38136041])"
248,9802289,1998-02-10,"array([-21.16802317,  -1.36562135])"
249,9803368,1998-03-17,"array([-21.3168937 ,  -1.35026288])"
250,9805303,1998-05-12,"array([-21.36635617,  -1.32835496])"
251,9806230,1998-06-02,"array([-21.13091205,  -1.30944424])"
252,9806308,1998-06-08,"array([-21.3162784 ,  -1.25962265])"
253,9806501,1998-06-26,"array([-21.15604919,  -1.35840455])"
254,9807238,1998-07-03,"array([-21.30403274,  -1.23754785])"
255,9901288,1999-01-13,"array([-21.22269499,  -1.32017076])"
256,9904379,1999-04-18,"array([-21.1801259 ,  -1.28691654])"
257,9904480,1999-04-28,"array([-21.14104199,  -1.3927051 ])"
258,9907243,1999-07-05,"array([-21.20973764,  -1.26065642])"
259,9907270,1999-07-07,"array([-21.3782263 ,  -1.51787179])"
260,9907300,1999-07-12,"array([-21.09462508,  -1.38197677])"
261,9910417,1999-10-20,"array([-21.24791653,  -1.50593071])"
262,10071,2000-10-08,"array([-20.84046955,  -1.52914168])"
263,10222,2000-10-19,"array([-21.10201173,  -1.41392228])"
264,11086,2000-11-07,"array([-21.25518114,  -1.40248558])"
265,12215,2000-12-18,"array([-21.14546314,  -1.52246648])"
266,9405283,1994-05-13,"array([-21.03029761,  -1.59654169])"
267,9608365,1996-08-19,"array([-21.19691305,  -1.42108722])"
268,9610455,1996-10-23,"array([-21.30918415,  -1.52482367])"
269,9711426,1997-11-22,"array([-21.22722382,  -1.57257559])"
270,9801412,1998-01-26,"array([-21.22160032,  -1.47655295])"
271,9806412,1998-06-18,"array([-21.2148006 ,  -1.55586984])"
272,9902256,1999-02-05,"array([-21.20197944,  -1.51008942])"
273,9908202,1999-08-02,"array([-21.22945517,  -1.5411433 ])"
274,9908520,1999-08-31,"array([-21.19609487,  -1.4303616 ])"
275,9909478,1999-09-22,"array([-21.19511581,  -1.53311759])"
276,9911263,1999-11-05,"array([-21.2224566 ,  -1.53837133])"
277,9912288,1999-12-10,"array([-21.1975853 ,  -1.51933703])"
278,9512356,1995-12-19,"array([-21.17425916,  -1.47154531])"
279,9604240,1996-04-04,"array([-21.06706383,  -1.57965275])"
280,9604330,1996-04-16,"array([-21.24671846,  -1.40711801])"
281,9607392,1996-07-22,"array([-21.22965254,  -1.42657416])"
282,9701278,1997-01-13,"array([-21.15907444,  -1.38802082])"
283,9706260,1997-06-05,"array([-21.18294085,  -1.4510869 ])"
284,9708222,1997-08-03,"array([-21.25782282,  -1.54176509])"
285,9710245,1997-10-05,"array([-21.24059128,  -1.33720891])"
286,9802300,1998-02-11,"array([-21.14911085,  -1.49179398])"
287,9811472,1998-11-25,"array([-21.21175398,  -1.53006813])"
288,9902334,1999-02-12,"array([-21.14278295,  -1.50487682])"
289,9903230,1999-03-02,"array([-21.18005578,  -1.40626479])"
290,9904408,1999-04-20,"array([-21.20240265,  -1.42262044])"
291,9906434,1999-06-20,"array([-21.15744597,  -1.45901803])"
292,9906497,1999-06-25,"array([-21.13843088,  -1.43573322])"
293,9907335,1999-07-13,"array([-21.1290914 ,  -1.45954677])"
294,9908395,1999-08-18,"array([-21.17189033,  -1.41808709])"
295,9908442,1999-08-23,"array([-21.2742688,  -1.2680963])"
296,9909530,1999-09-28,"array([-21.08587826,  -1.53969038])"
297,9403249,1994-03-09,"array([-21.37956894,  -1.58357102])"
298,9506477,1995-07-01,"array([-21.01843498,  -1.2996783 ])"
299,9603261,1996-03-10,"array([-21.41200846,  -1.53499233])"
300,9603414,1996-03-26,"array([-21.34077319,  -1.63025658])"
301,2041,2000-02-03,"array([-21.34465453,  -1.25333778])"
302,3090,2000-03-09,"array([-21.2780015 ,  -1.31030183])"
303,3133,2000-03-14,"array([-21.23542542,  -1.21174417])"
304,6068,2000-06-07,"array([-21.43643944,  -1.53995808])"
305,6136,2000-06-13,"array([-21.31606562,  -1.32769433])"
306,8151,2000-08-15,"array([-21.18234143,  -1.18336709])"
307,8298,2000-08-29,"array([-21.16022392,  -1.4189615 ])"
308,11396,2000-11-30,"array([-21.14025664,  -1.25735042])"
309,12197,2000-12-15,"array([-21.20161258,  -1.34279959])"
310,12289,2000-12-21,"array([-21.06647982,  -1.09221747])"
311,103324,2001-03-29,"array([-21.28433312,  -1.19271304])"
312,104027,2001-04-03,"array([-21.24750311,  -1.21270612])"
313,104137,2001-04-13,"array([-21.04188015,  -1.27213332])"
314,105084,2001-05-09,"array([-21.16442871,  -1.21005824])"
315,105177,2001-05-17,"array([-21.06546946,  -1.16809234])"
316,105306,2001-05-29,"array([-21.18638247,  -1.29086671])"
317,106050,2001-06-05,"array([-21.3238061,  -1.3577547])"
318,107002,2001-07-02,"array([-21.41325857,  -1.55368762])"
319,107074,2001-07-09,"array([-21.39892849,  -1.47708291])"
320,108195,2001-08-23,"array([-21.27617111,  -1.28836993])"
321,110253,2001-10-18,"array([-21.32838583,  -1.57148223])"
322,110260,2001-10-18,"array([-21.27806889,  -1.51692363])"
323,111167,2001-11-13,"array([-21.42464562,  -1.54731912])"
324,9312215,1993-12-02,"array([-20.99571614,  -1.28391074])"
325,9403341,1994-03-22,"array([-21.11717762,  -1.3880535 ])"
326,9407406,1994-07-31,"array([-21.0874494 ,  -1.49610956])"
327,9410253,1994-10-10,"array([-21.25224022,  -1.31689231])"
328,9503486,1995-03-31,"array([-21.34331349,  -1.69364365])"
329,9508250,1995-08-07,"array([-21.34703222,  -1.55097274])"
330,9509268,1995-09-11,"array([-21.3614647 ,  -1.71249034])"
331,9509329,1995-09-19,"array([-21.27934313,  -1.42922038])"
332,9512225,1995-12-04,"array([-21.31935851,  -1.48491787])"
333,9604412,1996-04-26,"array([-21.30896193,  -1.4938085 ])"
334,9606354,1996-06-17,"array([-21.21834493,  -1.57840992])"
335,9610208,1996-10-01,"array([-21.17212453,  -1.35974178])"
336,9612433,1996-12-20,"array([-21.13106245,  -1.4244903 ])"
337,9705356,1997-05-19,"array([-21.15909194,  -1.40790534])"
338,9709382,1997-09-17,"array([-21.04422689,  -1.37308868])"
339,9712417,1997-12-17,"array([-21.34792076,  -1.62760699])"
340,9804254,1998-04-08,"array([-21.15312136,  -1.47100794])"
341,9805422,1998-05-22,"array([-21.38436916,  -1.58905321])"
342,9807223,1998-07-02,"array([-21.32893216,  -1.67298798])"
343,9811377,1998-11-17,"array([-21.43766333,  -1.64592285])"
344,9911321,1999-11-11,"array([-21.21794096,  -1.24908805])"
345,9707293,1997-07-09,"array([-21.0178798 ,  -1.46203099])"
346,9209291,1992-09-29,"array([-21.17464831,  -1.37544503])"
347,9301212,1993-01-06,"array([-21.23352419,  -1.3578764 ])"
348,9304219,1993-04-06,"array([-20.83160367,  -1.63385705])"
349,9405274,1994-05-12,"array([-20.90583319,  -1.6479067 ])"
350,9505393,1995-05-26,"array([-21.0696842 ,  -1.39675759])"
351,103230,2001-03-21,"array([-21.22554612,  -1.56536772])"
352,9206236,1992-06-19,"array([-21.18890298,  -1.70200063])"
353,9302246,1993-02-11,"array([-21.13501538,  -1.68519022])"
354,9306323,1993-06-28,"array([-21.21733489,  -1.66013281])"
355,9307263,1993-07-13,"array([-21.03528264,  -1.66943595])"
356,9310355,1993-10-27,"array([-21.16362471,  -1.65753645])"
357,9401310,1994-01-23,"array([-21.18480205,  -1.99323927])"
358,9403233,1994-03-07,"array([-21.17819028,  -1.67006446])"
359,9409255,1994-09-08,"array([-21.10295172,  -1.60471953])"
360,9412243,1994-12-05,"array([-21.28387151,  -1.64592761])"
361,9412273,1994-12-12,"array([-21.48538875,  -1.48757979])"
362,9502254,1995-02-08,"array([-21.16469603,  -1.60017863])"
363,9304230,1993-04-08,"array([-21.45168805,  -1.40782904])"
364,9307274,1993-07-14,"array([-21.32464233,  -1.40754306])"
365,9401354,1994-01-31,"array([-21.5163159 ,  -1.48736677])"
366,9402360,1994-02-27,"array([-21.52152504,  -1.54549282])"
367,9402364,1994-02-28,"array([-21.52964546,  -1.54374712])"
368,9509420,1995-09-29,"array([-21.09001024,  -1.27393581])"
369,9510383,1995-10-24,"array([-21.15456865,  -1.36671685])"
370,301097,,"array([-21.5974904 ,  -1.04879287])"
371,3033,2000-03-04,"array([-21.63791426,  -1.22660988])"
372,106233,2001-06-21,"array([-21.46610711,  -1.05459996])"
373,106315,2001-06-28,"array([-21.54878508,  -1.09579731])"
374,106344,2001-06-29,"array([-21.66027837,  -1.1344422 ])"
375,111276,2001-11-22,"array([-21.63056965,  -1.02182032])"
376,112313,2001-12-22,"array([-21.38393996,  -1.08673492])"
377,201160,2002-01-17,"array([-21.38071035,  -1.05800451])"
378,203079,2002-03-07,"array([-21.42739361,  -1.16282999])"
379,203229,,"array([-21.47220642,  -1.12094539])"
380,204087,,"array([-21.5386439 ,  -1.11692906])"
381,206024,,"array([-21.6769666 ,  -1.12096149])"
382,207280,,"array([-21.6693887 ,  -0.96075991])"
383,211047,,"array([-21.74518011,  -0.94201418])"
384,211224,,"array([-21.7050007 ,  -1.19803841])"
385,211308,,"array([-21.59562626,  -1.12166556])"
386,9406205,1994-06-01,"array([-21.65299705,  -1.12192312])"
387,9506326,1995-06-14,"array([-21.69833905,  -0.96958558])"
388,9507396,1995-07-24,"array([-21.67213367,  -1.03816666])"
389,9509316,1995-09-18,"array([-21.7042458 ,  -1.00618635])"
390,9602234,1996-02-06,"array([-21.58674429,  -1.00047233])"
391,9602414,1996-02-27,"array([-21.22322885,  -1.13682018])"
392,9603409,1996-03-26,"array([-21.72186622,  -0.98636092])"
393,9609437,1996-09-23,"array([-21.6710003 ,  -1.06345602])"
394,9704288,1997-04-10,"array([-21.68281474,  -1.1608373 ])"
395,9801317,1998-01-15,"array([-21.64418679,  -0.94579085])"
396,9903229,1999-03-02,"array([-21.58785273,  -1.05108672])"
397,9908236,1999-08-03,"array([-21.51809089,  -1.06839049])"
398,9304240,1993-04-08,"array([-21.61075684,  -1.13077035])"
399,9311370,1993-11-29,"array([-21.80297562,  -0.97391644])"
400,9312202,1993-12-01,"array([-21.77538184,  -0.9777005 ])"
401,9405214,1994-05-03,"array([-21.58211104,  -1.05055958])"
402,9407408,1994-07-31,"array([-21.64228818,  -1.17385142])"
403,9408228,1994-08-03,"array([-21.47422793,  -1.05876828])"
404,9409260,1994-09-08,"array([-21.84540686,  -0.96285418])"
405,9409315,1994-09-14,"array([-21.54475059,  -1.13642918])"
406,9409460,1994-09-30,"array([-21.66441811,  -1.11276839])"
407,9410307,1994-10-17,"array([-21.60857262,  -1.08830991])"
408,9410369,1994-10-25,"array([-21.38572579,  -1.19682163])"
409,9501212,1995-01-04,"array([-21.59090425,  -1.04431543])"
410,9501362,1995-01-24,"array([-21.69043178,  -1.07623174])"
411,9502376,1995-02-23,"array([-21.81704773,  -0.97245573])"
412,9505409,1995-05-30,"array([-21.6512108 ,  -1.20009755])"
413,9505429,1995-05-31,"array([-21.76297918,  -0.93059994])"
414,9505430,1995-05-31,"array([-21.79588542,  -0.90959562])"
415,9506351,1995-06-16,"array([-21.65437788,  -1.18635126])"
416,9506461,1995-06-29,"array([-21.55102972,  -1.20820553])"
417,9508338,1995-08-21,"array([-21.55752305,  -1.0719947 ])"
418,9511282,1995-11-09,"array([-21.49257381,  -1.17800107])"
419,9604309,1996-04-14,"array([-21.64378515,  -1.14648668])"
420,9606435,1996-06-26,"array([-21.66589551,  -1.06788891])"
421,9608325,1996-08-14,"array([-21.68324563,  -1.20521642])"
422,9407389,1994-07-27,"array([-21.36463706,  -1.11279125])"
