# index, name, _pos
109,5938,"array([2.15099538, 1.06967133])"
110,9766,"array([2.17144303, 1.06904672])"
111,3890,"array([2.14812632, 1.08282532])"
112,2843,"array([2.15752786, 1.07445184])"
113,2896,"array([2.14435057, 1.07250147])"
114,5732,"array([2.14744025, 1.07442328])"
115,5272,"array([2.12453843, 1.07773844])"
116,7526,"array([2.13056253, 1.07865822])"
117,7810,"array([2.14319311, 1.06878006])"
118,1295,"array([2.14067008, 1.06834249])"
119,1138,"array([2.15514818, 1.06157422])"
120,3587,"array([2.15112004, 1.07317196])"
121,3640,"array([2.15146062, 1.06338677])"
122,3899,"array([2.15522569, 1.07221509])"
123,9009,"array([2.14166458, 1.05488601])"
124,8170,"array([2.14391439, 1.07196002])"
125,11747,"array([2.1552991 , 1.07620723])"
126,9247,"array([2.1552544 , 1.07513045])"
127,1016,"array([2.18330647, 1.06078834])"
128,795,"array([2.15369193, 1.06861771])"
129,11695,"array([2.11931474, 1.07797178])"
130,1949,"array([2.11095277, 1.07575945])"
131,5418,"array([2.15979808, 1.09600733])"
132,7943,"array([2.15429242, 1.067242  ])"
133,4341,"array([2.1284551 , 1.07463297])"
134,721,"array([2.1745421 , 1.06475818])"
135,561,"array([2.12665738, 1.0807222 ])"
136,6278,"array([2.14423652, 1.06977807])"
137,304,"array([2.12142022, 1.09013341])"
138,6540,"array([2.14572812, 1.07661435])"
139,9185,"array([2.15997636, 1.07811892])"
140,11235,"array([2.14744868, 1.0709567 ])"
141,694,"array([2.15634678, 1.07678608])"
142,3312,"array([2.17959218, 1.06752153])"
143,4991,"array([2.13141669, 1.07302736])"
144,1622,"array([2.11412872, 1.08923754])"
145,4939,"array([2.13171476, 1.08248728])"
146,78,"array([2.12682729, 1.07069791])"
147,1430,"array([2.15695556, 1.07583415])"
148,7025,"array([2.11640929, 1.08650502])"
149,1624,"array([2.16678664, 1.05909078])"
150,10673,"array([2.14713441, 1.07530962])"
151,4825,"array([2.1910697, 1.0555885])"
152,364,"array([2.16702776, 1.06145671])"
153,6094,"array([2.14228336, 1.07246704])"
154,9408,"array([2.1411231 , 1.07020073])"
155,808,"array([2.13194157, 1.07729814])"
156,10441,"array([2.1516277 , 1.06158517])"
157,7843,"array([2.13879397, 1.06792942])"
158,5297,"array([2.14074199, 1.07118158])"
159,9032,"array([2.14149785, 1.06846707])"
160,8876,"array([2.15280708, 1.05887408])"
161,12590,"array([2.14754503, 1.07685921])"
162,8983,"array([2.13836934, 1.0894026 ])"
163,11247,"array([2.15175228, 1.08244554])"
164,10095,"array([2.16248621, 1.06765646])"
165,55,"array([2.13732275, 1.05401249])"
166,10686,"array([2.15115706, 1.06047979])"
167,3780,"array([2.13982336, 1.05864334])"
168,10777,"array([2.14240816, 1.04950549])"
169,12403,"array([2.13009346, 1.07121828])"
170,1898,"array([2.09947167, 1.06461015])"
171,4630,"array([2.12940382, 1.06390797])"
172,7188,"array([2.16958835, 1.02507059])"
173,56,"array([2.1029156 , 1.11246807])"
174,7691,"array([2.11134702, 1.07725878])"
175,4841,"array([2.09436983, 1.11791491])"
176,11930,"array([2.09823498, 1.13788954])"
177,2295,"array([2.09306899, 1.13781023])"
178,9291,"array([2.0831964, 1.1208371])"
179,6236,"array([2.11912685, 1.08824016])"
180,3652,"array([2.12800145, 1.09915213])"
181,57,"array([2.14335337, 1.10821804])"
182,59,"array([2.1581947 , 1.08795124])"
183,1319,"array([2.12099563, 1.0779283 ])"
184,60,"array([2.08428593, 1.05433639])"
185,11326,"array([2.11330773, 1.07684029])"
186,10196,"array([2.10316256, 1.0670791 ])"
187,6394,"array([2.06600949, 1.0310999 ])"
188,61,"array([2.10506417, 1.08401926])"
189,6887,"array([2.12289302, 1.08079779])"
190,6754,"array([2.10857398, 1.0804149 ])"
191,10811,"array([2.09697388, 1.07353738])"
192,9288,"array([2.10660534, 1.07633376])"
193,5145,"array([2.10400621, 1.0724381 ])"
194,1071,"array([2.0966265 , 1.07497468])"
195,8917,"array([2.10268945, 1.07631966])"
196,62,"array([2.05203317, 1.08740263])"
197,63,"array([2.14390972, 1.03574819])"
198,9531,"array([2.13404757, 1.05775884])"
199,64,"array([2.0899896 , 1.08055269])"
200,4214,"array([2.07782406, 1.08605927])"
201,65,"array([2.12265658, 1.0612786 ])"
202,67,"array([2.1005352 , 1.10334299])"
203,174,"array([2.11644395, 1.07610365])"
204,12404,"array([2.09539758, 1.13175046])"
205,69,"array([2.14358558, 1.06803651])"
206,12213,"array([2.15027479, 1.07048088])"
207,6943,"array([2.14075255, 1.06143157])"
208,5010,"array([2.14902055, 1.07549999])"
209,10199,"array([2.14011699, 1.04295832])"
210,8598,"array([2.15247166, 1.06386153])"
211,97,"array([2.15958296, 1.06342553])"
212,11543,"array([2.14917294, 1.06675226])"
213,831,"array([2.14752947, 1.08008201])"
214,12552,"array([2.14340474, 1.07067176])"
215,12129,"array([2.1563184, 1.0863843])"
216,7309,"array([2.14785803, 1.06414499])"
217,7256,"array([2.14648712, 1.08016272])"
218,1191,"array([2.15231082, 1.05660065])"
219,7686,"array([2.1554817 , 1.05690745])"
220,1663,"array([2.11448275, 1.06505816])"
221,12566,"array([2.13854795, 1.07254294])"
222,5286,"array([2.13998353, 1.08217025])"
223,10570,"array([2.14697405, 1.06065445])"
224,11233,"array([2.14164802, 1.07106077])"
225,3544,"array([2.14640844, 1.06239919])"
226,1961,"array([2.14112133, 1.07239648])"
227,4217,"array([2.15756279, 1.06923006])"
228,8137,"array([2.13597645, 1.07098537])"
229,518,"array([2.12489468, 1.07236519])"
230,6044,"array([2.12358167, 1.06953619])"
231,4731,"array([2.14992916, 1.06876121])"
232,70,"array([2.12453039, 1.07521835])"
233,394,"array([2.10916553, 1.06947532])"
234,8824,"array([2.1222122 , 1.09165878])"
235,3568,"array([2.12251167, 1.0722762 ])"
236,871,"array([2.11446349, 1.07589658])"
237,3469,"array([2.10544266, 1.06538346])"
238,2284,"array([2.13378862, 1.07624658])"
239,4525,"array([2.11389623, 1.07904882])"
240,10782,"array([2.10998095, 1.07625998])"
241,5118,"array([2.12347869, 1.06405202])"
242,5369,"array([2.12073423, 1.07124155])"
243,4701,"array([2.11527532, 1.07374576])"
244,7165,"array([2.11864802, 1.06712196])"
245,12525,"array([2.11219654, 1.0615061 ])"
246,4484,"array([2.11728015, 1.08406911])"
247,545,"array([2.11172304, 1.07681276])"
248,6996,"array([2.13340134, 1.07736255])"
249,2637,"array([2.14048449, 1.05745046])"
250,8451,"array([2.12157586, 1.07152442])"
251,8169,"array([2.13031872, 1.07703277])"
252,12376,"array([2.11270094, 1.08040694])"
253,3388,"array([2.10925529, 1.07592825])"
254,1409,"array([2.1166363 , 1.07958083])"
255,9339,"array([2.11586136, 1.07582216])"
256,6291,"array([2.10668159, 1.07391385])"
257,4415,"array([2.11185914, 1.07060196])"
258,7683,"array([2.11640766, 1.07333224])"
259,6590,"array([2.11362623, 1.07459879])"
260,2357,"array([2.1101682 , 1.08026237])"
261,8623,"array([2.114211  , 1.07203426])"
262,1468,"array([2.1166761 , 1.07704262])"
263,1757,"array([2.11376757, 1.07529265])"
264,1857,"array([2.11513633, 1.07735363])"
265,11130,"array([2.1221958 , 1.07398525])"
266,5239,"array([2.11573596, 1.08343293])"
267,8568,"array([2.11965208, 1.07757067])"
268,3395,"array([2.12753126, 1.07694635])"
269,955,"array([2.10994858, 1.07951665])"
270,905,"array([2.11694929, 1.08202008])"
271,4134,"array([2.11123427, 1.08006587])"
272,10850,"array([2.14467767, 1.05331498])"
273,1059,"array([2.11976813, 1.09167953])"
274,1675,"array([2.11157711, 1.07389808])"
275,10037,"array([2.12344105, 1.05120351])"
276,5554,"array([2.11426595, 1.07397495])"
277,191,"array([2.12858846, 1.0866932 ])"
278,11679,"array([2.1295846 , 1.08781031])"
279,211,"array([2.11245502, 1.07586389])"
280,8574,"array([2.11645992, 1.07769033])"
281,2605,"array([2.12689356, 1.08184665])"
282,9904,"array([2.10700524, 1.08088133])"
283,10690,"array([2.11436714, 1.08068554])"
284,11043,"array([2.12345296, 1.07574608])"
285,3610,"array([2.1307564 , 1.07404046])"
286,5482,"array([2.11465573, 1.07281446])"
287,10587,"array([2.12182105, 1.0806674 ])"
288,8875,"array([2.11799314, 1.06828792])"
289,9410,"array([2.10783688, 1.07600113])"
290,4042,"array([2.1181894 , 1.07815861])"
291,6782,"array([2.13246402, 1.08179438])"
292,10141,"array([2.12264058, 1.07886517])"
293,5889,"array([2.12069883, 1.09894457])"
294,2283,"array([2.11916879, 1.07652964])"
295,71,"array([2.14755757, 1.09698437])"
296,6550,"array([2.17213949, 1.12161075])"
297,72,"array([2.06483952, 1.14583361])"
298,74,"array([2.19252343, 1.03248233])"
299,5319,"array([2.16293199, 1.04950323])"
300,77,"array([2.04127106, 1.00936794])"
301,12328,"array([2.04833947, 1.02857921])"
302,2928,"array([2.13053779, 1.06784036])"
303,3044,"array([2.14340279, 1.04872161])"
304,9605,"array([2.12260347, 1.07811498])"
305,79,"array([2.15319429, 1.04633722])"
306,80,"array([2.09025707, 1.05156624])"
307,870,"array([2.07661508, 1.02669974])"
308,8772,"array([2.10220331, 1.0293686 ])"
309,11788,"array([2.11400274, 1.07653632])"
310,81,"array([2.07914715, 1.11570491])"
311,83,"array([2.08656027, 1.04693818])"
312,6433,"array([2.06915867, 1.0245456 ])"
313,84,"array([2.07433572, 1.06454193])"
314,86,"array([2.01082143, 1.04212632])"
315,7514,"array([2.02966602, 1.04850741])"
316,87,"array([2.08629393, 1.13863421])"
317,3766,"array([2.07040601, 1.12621803])"
318,88,"array([2.10244893, 1.07770463])"
319,7171,"array([2.12072402, 1.08030443])"
320,7324,"array([2.12574331, 1.07576442])"
321,89,"array([2.06456655, 1.03802107])"
322,2543,"array([2.08447654, 1.05903233])"
323,90,"array([2.10663021, 1.07933633])"
324,11151,"array([2.10228148, 1.07834013])"
325,11318,"array([2.11347579, 1.08024755])"
326,8003,"array([2.11101408, 1.08690603])"
327,3481,"array([2.11129   , 1.07290651])"
328,766,"array([2.11295182, 1.08217722])"
329,12576,"array([2.11393763, 1.07839471])"
330,3476,"array([2.10635927, 1.05449912])"
331,11921,"array([2.11371651, 1.07966102])"
332,91,"array([2.14252908, 1.07083262])"
333,1383,"array([2.15056839, 1.07475124])"
334,173,"array([2.16025616, 1.07362419])"
335,320,"array([2.14241622, 1.07647805])"
336,1030,"array([2.17413317, 1.04924978])"
337,12602,"array([2.12406283, 1.08879453])"
338,7252,"array([2.13817685, 1.07067109])"
339,4166,"array([2.13629685, 1.07409753])"
340,5071,"array([2.11206783, 1.07805115])"
341,2735,"array([2.14577493, 1.05686509])"
342,6309,"array([2.1739869 , 1.04254455])"
343,113,"array([2.13160247, 1.07415413])"
344,7302,"array([2.13760741, 1.06832933])"
345,7576,"array([2.13233711, 1.07330567])"
346,11985,"array([2.14563635, 1.07838211])"
347,7684,"array([2.13595391, 1.09859575])"
348,3592,"array([2.14072716, 1.05942921])"
349,796,"array([2.11622317, 1.08487927])"
350,6969,"array([2.12798415, 1.06891433])"
351,1359,"array([2.16621655, 1.07754967])"
352,11899,"array([2.13472717, 1.09214368])"
353,2877,"array([2.14909278, 1.07027775])"
354,12281,"array([2.14928819, 1.06583491])"
355,6432,"array([2.14845451, 1.06768246])"
356,1567,"array([2.15427597, 1.07471614])"
357,6490,"array([2.17251768, 1.04545757])"
358,4619,"array([2.13879569, 1.07334699])"
359,8468,"array([2.15199767, 1.07329911])"
360,5728,"array([2.12229168, 1.07466451])"
361,3750,"array([2.15159805, 1.0455304 ])"
362,8869,"array([2.16849159, 1.08127418])"
363,7278,"array([2.14422003, 1.06890081])"
364,10689,"array([2.12956333, 1.07074802])"
365,12528,"array([2.17250974, 1.06898171])"
366,3254,"array([2.14767587, 1.07277902])"
367,10723,"array([2.13369451, 1.07337141])"
368,857,"array([2.13452911, 1.07815929])"
369,12251,"array([2.15231764, 1.06708942])"
370,10803,"array([2.17792468, 1.08543686])"
371,2358,"array([2.15570124, 1.04500816])"
372,760,"array([2.15214068, 1.08131357])"
373,1965,"array([2.14940997, 1.08058363])"
374,10395,"array([2.12918561, 1.08176674])"
375,3824,"array([2.12844082, 1.08245132])"
376,92,"array([2.11350272, 1.06221459])"
377,4154,"array([2.11353792, 1.06387997])"
378,8017,"array([2.11143079, 1.06319064])"
379,4786,"array([2.11264891, 1.05965877])"
380,1387,"array([2.11285474, 1.05714188])"
381,7412,"array([2.11368677, 1.06128429])"
382,2088,"array([2.11123963, 1.06053729])"
383,3920,"array([2.11374651, 1.05457701])"
384,6414,"array([2.1144655, 1.0638046])"
385,392,"array([2.11004866, 1.0619268 ])"
386,1525,"array([2.10730644, 1.0602735 ])"
387,2535,"array([2.11356978, 1.06477433])"
388,9782,"array([2.11212356, 1.06331016])"
389,2408,"array([2.11010427, 1.06285118])"
390,12388,"array([2.11213538, 1.06447804])"
391,2815,"array([2.11150268, 1.05974062])"
392,7026,"array([2.11514882, 1.05451074])"
393,8661,"array([2.10879477, 1.06233689])"
394,11713,"array([2.11288751, 1.06289896])"
395,11360,"array([2.11211021, 1.05518415])"
396,11469,"array([2.10806871, 1.06144396])"
397,6990,"array([2.10875199, 1.05817448])"
398,12231,"array([2.11658864, 1.06315443])"
399,11256,"array([2.11419412, 1.06272541])"
400,93,"array([2.05884331, 1.07417563])"
401,94,"array([2.23087728, 1.04646966])"
402,11301,"array([2.21449414, 1.05105158])"
403,95,"array([2.06573239, 1.0937224 ])"
404,98,"array([2.07057188, 1.06425961])"
405,99,"array([2.1508265 , 1.07233985])"
406,10177,"array([2.13953248, 1.0706215 ])"
407,2969,"array([2.13699271, 1.07746357])"
408,8383,"array([2.16253757, 1.07231058])"
409,12575,"array([2.16514295, 1.07842878])"
410,7779,"array([2.12728375, 1.06932307])"
411,102,"array([2.11947778, 1.09524474])"
412,7255,"array([2.09909675, 1.10525194])"
413,103,"array([2.07173887, 1.05415888])"
414,104,"array([2.06381273, 1.09260377])"
415,105,"array([2.06421038, 1.08663652])"
416,106,"array([2.13726401, 1.05936984])"
417,5531,"array([2.13130817, 1.08028351])"
418,2062,"array([2.11366474, 1.06869455])"
419,107,"array([2.10876112, 1.06102209])"
420,4589,"array([2.10643554, 1.05831024])"
421,160,"array([2.11274718, 1.06389015])"
422,2594,"array([2.1177342 , 1.05667826])"
423,108,"array([2.15552642, 1.082385  ])"
424,8483,"array([2.16631426, 1.06244102])"
425,109,"array([2.19947834, 1.05692424])"
426,110,"array([2.08859017, 1.1043978 ])"
427,111,"array([2.07408183, 1.02029549])"
428,2507,"array([2.0874472 , 1.04106902])"
429,112,"array([2.07046108, 1.09776571])"
430,11056,"array([2.06757682, 1.09865569])"
431,6998,"array([2.14570882, 1.06744998])"
432,235,"array([2.14778764, 1.08156849])"
433,1579,"array([2.14427582, 1.07428405])"
434,4615,"array([2.11876571, 1.06577095])"
435,9716,"array([2.10738138, 1.10301737])"
436,7009,"array([2.10588785, 1.06975727])"
437,7394,"array([2.13468474, 1.0750101 ])"
438,10495,"array([2.10362869, 1.07755221])"
439,8361,"array([2.11809989, 1.07964252])"
440,3268,"array([2.10791205, 1.09730066])"
441,8173,"array([2.11867183, 1.06871093])"
442,2813,"array([2.13932422, 1.06675279])"
443,8755,"array([2.1215942 , 1.07476031])"
444,7598,"array([2.10997616, 1.06951502])"
445,2786,"array([2.14547696, 1.08593826])"
446,1422,"array([2.11070056, 1.07985845])"
447,4642,"array([2.11769199, 1.08178043])"
448,7030,"array([2.16729227, 1.08721329])"
449,10736,"array([2.14894065, 1.07222901])"
450,5805,"array([2.1232109 , 1.07386676])"
451,2016,"array([2.10950606, 1.07450082])"
452,11922,"array([2.13630526, 1.07006797])"
453,7816,"array([2.1274652 , 1.08085589])"
454,4066,"array([2.11785955, 1.07521599])"
455,11540,"array([2.11305661, 1.07949353])"
456,4846,"array([2.12198004, 1.07061194])"
457,430,"array([2.11576433, 1.07191397])"
458,8473,"array([2.15591665, 1.06749785])"
459,2444,"array([2.13331154, 1.07544616])"
460,7625,"array([2.11880701, 1.08070828])"
461,8031,"array([2.12063864, 1.08311973])"
462,6673,"array([2.12054723, 1.07651723])"
463,9014,"array([2.14405605, 1.05716021])"
464,1633,"array([2.14988439, 1.06728529])"
465,2256,"array([2.14553507, 1.05964814])"
466,7641,"array([2.147643  , 1.06846302])"
467,7073,"array([2.12991477, 1.07608735])"
468,6093,"array([2.1130686 , 1.07740573])"
469,1515,"array([2.14442885, 1.06783818])"
470,2070,"array([2.14621349, 1.06836595])"
471,7084,"array([2.16306342, 1.04737545])"
472,7284,"array([2.10358982, 1.09132459])"
473,7865,"array([2.11699279, 1.07475904])"
474,2667,"array([2.15773114, 1.0833604 ])"
475,12534,"array([2.10652866, 1.0729835 ])"
476,5487,"array([2.13596357, 1.06522548])"
477,2888,"array([2.11580297, 1.07924993])"
478,275,"array([2.12921619, 1.04443202])"
479,6709,"array([2.15766279, 1.08031336])"
480,672,"array([2.11739627, 1.07994077])"
481,4700,"array([2.10907328, 1.07669465])"
482,7663,"array([2.11331198, 1.07211621])"
483,8445,"array([2.13036096, 1.07269863])"
484,676,"array([2.13469689, 1.06329384])"
485,4329,"array([2.14253187, 1.07447923])"
486,1296,"array([2.12443178, 1.0681155 ])"
487,9433,"array([2.13960245, 1.06973381])"
488,4738,"array([2.12362999, 1.07505913])"
489,7127,"array([2.13162975, 1.07589205])"
490,8088,"array([2.13961326, 1.06771164])"
491,5705,"array([2.13844556, 1.05977522])"
492,9843,"array([2.11835273, 1.07553661])"
493,4728,"array([2.14330219, 1.07681225])"
494,9851,"array([2.14323946, 1.07234266])"
495,3564,"array([2.1642913 , 1.05009729])"
496,8672,"array([2.11627729, 1.07134585])"
497,8319,"array([2.10731613, 1.07214845])"
498,6961,"array([2.1191946 , 1.07527479])"
499,959,"array([2.14206554, 1.07976801])"
500,9491,"array([2.11800797, 1.08112276])"
501,1563,"array([2.14487066, 1.06722357])"
502,11855,"array([2.14360161, 1.07979005])"
503,10860,"array([2.14841926, 1.07112887])"
504,10474,"array([2.12010014, 1.07382358])"
505,6978,"array([2.12448163, 1.08184864])"
506,11462,"array([2.11276936, 1.06719426])"
507,1371,"array([2.12486538, 1.07303101])"
508,9084,"array([2.11784657, 1.0899843 ])"
509,4409,"array([2.12726991, 1.07362313])"
510,367,"array([2.11776348, 1.07466623])"
511,574,"array([2.11864636, 1.07715148])"
512,2172,"array([2.11397296, 1.07332801])"
513,11049,"array([2.16207355, 1.08657335])"
514,114,"array([2.11263281, 1.10410146])"
515,6937,"array([2.10086747, 1.12613358])"
516,3190,"array([2.12157197, 1.07971853])"
517,11649,"array([2.09813701, 1.08629151])"
518,4209,"array([2.10341603, 1.09587578])"
519,115,"array([2.05669602, 1.08761531])"
520,116,"array([2.10411037, 1.07107364])"
521,3199,"array([2.09788254, 1.08035623])"
522,5916,"array([2.11714659, 1.07536262])"
523,7407,"array([2.11883618, 1.07927115])"
524,2592,"array([2.09038352, 1.06553309])"
525,3362,"array([2.08879091, 1.07306565])"
526,10588,"array([2.10540153, 1.08054522])"
527,10433,"array([2.10000364, 1.08705825])"
528,10774,"array([2.10652146, 1.08370907])"
529,2242,"array([2.10735379, 1.07120204])"
530,117,"array([2.18657956, 1.06058181])"
531,120,"array([2.09043151, 1.08660418])"
532,121,"array([2.05147368, 1.07370204])"
533,122,"array([2.12615357, 1.10429934])"
534,11636,"array([2.11658958, 1.08331133])"
535,123,"array([2.15955333, 1.07473552])"
536,5226,"array([2.14843261, 1.0742402 ])"
537,124,"array([2.1222328, 1.0882456])"
538,11838,"array([2.12258323, 1.10097238])"
539,9357,"array([2.11696925, 1.10094141])"
540,7584,"array([2.11530555, 1.11106161])"
541,3776,"array([2.1157265, 1.1003263])"
542,2265,"array([2.10850902, 1.09076907])"
543,2765,"array([2.11283978, 1.09656104])"
544,126,"array([2.08066013, 1.04173236])"
545,127,"array([2.19454443, 1.05747754])"
546,3342,"array([2.17095437, 1.06696083])"
547,9632,"array([2.179326  , 1.05578588])"
548,128,"array([2.05738099, 1.08703984])"
549,129,"array([2.02909625, 1.07278299])"
550,133,"array([2.14692321, 1.10005282])"
551,134,"array([2.09153143, 1.04313985])"
552,135,"array([2.04354411, 1.09950617])"
553,137,"array([2.12943934, 1.06751931])"
554,139,"array([2.12006151, 1.17546671])"
555,6413,"array([2.12292416, 1.20098634])"
556,140,"array([2.19186821, 1.04842294])"
557,8358,"array([2.18179685, 1.05288548])"
558,11246,"array([2.22160942, 1.03498154])"
559,679,"array([2.14766643, 1.06931903])"
560,141,"array([2.20865189, 1.09463679])"
561,1585,"array([2.17871564, 1.08669552])"
562,143,"array([2.06602525, 1.07163188])"
563,144,"array([2.12769771, 1.09796523])"
564,12577,"array([2.11355345, 1.08287728])"
565,1814,"array([2.1127967 , 1.08142689])"
566,145,"array([2.04622076, 1.10546263])"
567,149,"array([2.03528738, 1.08867467])"
568,11597,"array([2.01218888, 1.09253948])"
569,150,"array([2.04936847, 1.05364959])"
570,151,"array([2.0512004 , 1.08723183])"
571,572,"array([2.08588834, 1.08727843])"
572,4092,"array([2.07313479, 1.09535896])"
573,3211,"array([2.02534595, 1.1033011 ])"
574,7773,"array([2.04475993, 1.10720552])"
575,153,"array([2.09373652, 1.0941437 ])"
576,9068,"array([2.10971747, 1.08476205])"
577,154,"array([2.11672571, 1.06421007])"
578,8055,"array([2.12361354, 1.06499515])"
579,3801,"array([2.11583294, 1.03432603])"
580,11091,"array([2.11588144, 1.07402515])"
581,8681,"array([2.117984  , 1.07892783])"
582,11182,"array([2.10670461, 1.07015674])"
583,3253,"array([2.10355947, 1.08681917])"
584,156,"array([2.08478871, 1.03732064])"
585,1780,"array([2.09086491, 1.05466652])"
586,7193,"array([2.1014129, 1.0650686])"
587,157,"array([2.07787089, 1.05019118])"
588,7249,"array([2.09561549, 1.07404674])"
589,158,"array([2.05066926, 1.09697244])"
590,159,"array([2.16710655, 1.09226382])"
591,9786,"array([2.14492029, 1.07998642])"
592,11306,"array([2.16750887, 1.09612844])"
593,2039,"array([2.15606434, 1.08967013])"
594,5779,"array([2.1671254, 1.0720824])"
595,12465,"array([2.11869226, 1.05197401])"
596,3080,"array([2.10170984, 1.04482146])"
597,161,"array([2.07347767, 1.09636955])"
598,162,"array([2.04984436, 1.1026929 ])"
599,163,"array([2.17536456, 1.04845637])"
600,8920,"array([2.15199186, 1.06270348])"
601,164,"array([2.0976117 , 1.11310204])"
602,11852,"array([2.09833366, 1.0989504 ])"
603,8046,"array([2.09671407, 1.0877925 ])"
604,166,"array([2.09260303, 1.1212572 ])"
605,167,"array([2.09763055, 1.06917231])"
606,168,"array([2.05045857, 1.09104455])"
607,169,"array([2.07600057, 1.09098863])"
608,170,"array([2.07810605, 1.07079942])"
